,Abbreviation,TeamId,GridPosition,Position,Time,Status,Race,TotalTime,Rain,Temp
56,ALO,alpine,10.0,17.0,,+1 Lap,Australian Grand Prix,,0.0,
57,VER,red_bull,2.0,18.0,,Fuel leak,Australian Grand Prix,,0.0,
58,VET,aston_martin,17.0,19.0,,Accident,Australian Grand Prix,,0.0,
59,SAI,ferrari,9.0,20.0,,Spun off,Australian Grand Prix,,0.0,
60,VER,red_bull,1.0,1.0,5527986000000.0,Finished,Emilia Romagna Grand Prix,0 days 01:32:07.986000,0.0,
61,PER,red_bull,3.0,2.0,5544513000000.0,Finished,Emilia Romagna Grand Prix,0 days 01:32:24.513000,0.0,
62,NOR,mclaren,5.0,3.0,5562820000000.0,Finished,Emilia Romagna Grand Prix,0 days 01:32:42.820000,0.0,
63,RUS,mercedes,11.0,4.0,5570492000000.0,Finished,Emilia Romagna Grand Prix,0 days 01:32:50.492000,0.0,
64,BOT,sauber,7.0,5.0,5571167000000.0,Finished,Emilia Romagna Grand Prix,0 days 01:32:51.167000,0.0,
65,LEC,ferrari,2.0,6.0,5584058000000.0,Finished,Emilia Romagna Grand Prix,0 days 01:33:04.058000,0.0,
66,TSU,rb,12.0,7.0,5589096000000.0,Finished,Emilia Romagna Grand Prix,0 days 01:33:09.096000,0.0,
67,VET,aston_martin,13.0,8.0,5598878000000.0,Finished,Emilia Romagna Grand Prix,0 days 01:33:18.878000,0.0,
68,MAG,haas,8.0,9.0,5603246000000.0,Finished,Emilia Romagna Grand Prix,0 days 01:33:23.246000,0.0,
69,STR,aston_martin,15.0,10.0,,+1 Lap,Emilia Romagna Grand Prix,,0.0,
70,ALB,williams,18.0,11.0,,+1 Lap,Emilia Romagna Grand Prix,,0.0,
71,GAS,rb,17.0,12.0,,+1 Lap,Emilia Romagna Grand Prix,,0.0,
72,HAM,mercedes,14.0,13.0,,+1 Lap,Emilia Romagna Grand Prix,,0.0,
73,OCO,alpine,16.0,14.0,,+1 Lap,Emilia Romagna Grand Prix,,0.0,
74,ZHO,sauber,0.0,15.0,,+1 Lap,Emilia Romagna Grand Prix,,0.0,
75,LAT,williams,19.0,16.0,,+1 Lap,Emilia Romagna Grand Prix,,0.0,
76,MSC,haas,10.0,17.0,,+1 Lap,Emilia Romagna Grand Prix,,0.0,
77,RIC,mclaren,6.0,18.0,,+1 Lap,Emilia Romagna Grand Prix,,0.0,
78,ALO,alpine,9.0,19.0,,Collision damage,Emilia Romagna Grand Prix,,0.0,
79,SAI,ferrari,4.0,20.0,,Collision,Emilia Romagna Grand Prix,,0.0,
80,VER,red_bull,3.0,1.0,5664258000000.0,Finished,Miami Grand Prix,0 days 01:34:24.258000,0.0555555555555555,
81,LEC,ferrari,1.0,2.0,5668044000000.0,Finished,Miami Grand Prix,0 days 01:34:28.044000,0.0555555555555555,
82,SAI,ferrari,2.0,3.0,5672487000000.0,Finished,Miami Grand Prix,0 days 01:34:32.487000,0.0555555555555555,
83,PER,red_bull,4.0,4.0,5674896000000.0,Finished,Miami Grand Prix,0 days 01:34:34.896000,0.0555555555555555,
84,RUS,mercedes,12.0,5.0,5682840000000.0,Finished,Miami Grand Prix,0 days 01:34:42.840000,0.0555555555555555,
85,HAM,mercedes,6.0,6.0,5685626000000.0,Finished,Miami Grand Prix,0 days 01:34:45.626000,0.0555555555555555,
86,BOT,sauber,5.0,7.0,5689331000000.0,Finished,Miami Grand Prix,0 days 01:34:49.331000,0.0555555555555555,
87,OCO,alpine,20.0,8.0,5692644000000.0,Finished,Miami Grand Prix,0 days 01:34:52.644000,0.0555555555555555,
88,ALB,williams,18.0,9.0,5696623000000.0,Finished,Miami Grand Prix,0 days 01:34:56.623000,0.0555555555555555,
89,STR,aston_martin,0.0,10.0,5701284000000.0,Finished,Miami Grand Prix,0 days 01:35:01.284000,0.0555555555555555,
90,ALO,alpine,11.0,11.0,5701386000000.0,Finished,Miami Grand Prix,0 days 01:35:01.386000,0.0555555555555555,
91,TSU,rb,9.0,12.0,5704404000000.0,Finished,Miami Grand Prix,0 days 01:35:04.404000,0.0555555555555555,
92,RIC,mclaren,14.0,13.0,5705160000000.0,Finished,Miami Grand Prix,0 days 01:35:05.160000,0.0555555555555555,
93,LAT,williams,19.0,14.0,5714194000000.0,Finished,Miami Grand Prix,0 days 01:35:14.194000,0.0555555555555555,
94,MSC,haas,15.0,15.0,5737563000000.0,Finished,Miami Grand Prix,0 days 01:35:37.563000,0.0555555555555555,
95,MAG,haas,16.0,16.0,,Front wing,Miami Grand Prix,,0.0555555555555555,
96,VET,aston_martin,0.0,17.0,,Collision,Miami Grand Prix,,0.0555555555555555,
97,GAS,rb,7.0,18.0,,Suspension,Miami Grand Prix,,0.0555555555555555,
98,NOR,mclaren,8.0,19.0,,Collision,Miami Grand Prix,,0.0555555555555555,
99,ZHO,sauber,17.0,20.0,,Water leak,Miami Grand Prix,,0.0555555555555555,
100,VER,red_bull,2.0,1.0,5840475000000.0,Finished,Spanish Grand Prix,0 days 01:37:20.475000,0.0,
101,PER,red_bull,5.0,2.0,5853547000000.0,Finished,Spanish Grand Prix,0 days 01:37:33.547000,0.0,
102,RUS,mercedes,4.0,3.0,5873402000000.0,Finished,Spanish Grand Prix,0 days 01:37:53.402000,0.0,
103,SAI,ferrari,3.0,4.0,5885683000000.0,Finished,Spanish Grand Prix,0 days 01:38:05.683000,0.0,
104,HAM,mercedes,6.0,5.0,5895009000000.0,Finished,Spanish Grand Prix,0 days 01:38:15.009000,0.0,
105,BOT,sauber,7.0,6.0,5900451000000.0,Finished,Spanish Grand Prix,0 days 01:38:20.451000,0.0,
106,OCO,alpine,12.0,7.0,5915872000000.0,Finished,Spanish Grand Prix,0 days 01:38:35.872000,0.0,
107,NOR,mclaren,11.0,8.0,5923710000000.0,Finished,Spanish Grand Prix,0 days 01:38:43.710000,0.0,
108,ALO,alpine,20.0,9.0,,+1 Lap,Spanish Grand Prix,,0.0,
109,TSU,rb,13.0,10.0,,+1 Lap,Spanish Grand Prix,,0.0,
110,VET,aston_martin,16.0,11.0,,+1 Lap,Spanish Grand Prix,,0.0,
111,RIC,mclaren,9.0,12.0,,+1 Lap,Spanish Grand Prix,,0.0,
112,GAS,rb,14.0,13.0,,+1 Lap,Spanish Grand Prix,,0.0,
113,MSC,haas,10.0,14.0,,+1 Lap,Spanish Grand Prix,,0.0,
114,STR,aston_martin,17.0,15.0,,+1 Lap,Spanish Grand Prix,,0.0,
115,LAT,williams,19.0,16.0,,+2 Laps,Spanish Grand Prix,,0.0,
116,MAG,haas,8.0,17.0,,+2 Laps,Spanish Grand Prix,,0.0,
117,ALB,williams,18.0,18.0,,+2 Laps,Spanish Grand Prix,,0.0,
118,ZHO,sauber,15.0,19.0,,Power loss,Spanish Grand Prix,,0.0,
119,LEC,ferrari,1.0,20.0,,Turbo,Spanish Grand Prix,,0.0,
120,PER,red_bull,3.0,1.0,6990265000000.0,Finished,Monaco Grand Prix,0 days 01:56:30.265000,0.436734693877551,
121,SAI,ferrari,2.0,2.0,6991419000000.0,Finished,Monaco Grand Prix,0 days 01:56:31.419000,0.436734693877551,
122,VER,red_bull,4.0,3.0,6991756000000.0,Finished,Monaco Grand Prix,0 days 01:56:31.756000,0.436734693877551,
123,LEC,ferrari,1.0,4.0,6993187000000.0,Finished,Monaco Grand Prix,0 days 01:56:33.187000,0.436734693877551,
124,RUS,mercedes,6.0,5.0,7002233000000.0,Finished,Monaco Grand Prix,0 days 01:56:42.233000,0.436734693877551,
125,NOR,mclaren,5.0,6.0,7002496000000.0,Finished,Monaco Grand Prix,0 days 01:56:42.496000,0.436734693877551,
126,ALO,alpine,7.0,7.0,7036623000000.0,Finished,Monaco Grand Prix,0 days 01:57:16.623000,0.436734693877551,
127,HAM,mercedes,8.0,8.0,7040653000000.0,Finished,Monaco Grand Prix,0 days 01:57:20.653000,0.436734693877551,
128,BOT,sauber,12.0,9.0,7042790000000.0,Finished,Monaco Grand Prix,0 days 01:57:22.790000,0.436734693877551,
129,VET,aston_martin,9.0,10.0,7043801000000.0,Finished,Monaco Grand Prix,0 days 01:57:23.801000,0.436734693877551,
130,GAS,rb,17.0,11.0,7044554000000.0,Finished,Monaco Grand Prix,0 days 01:57:24.554000,0.436734693877551,
131,OCO,alpine,10.0,12.0,7045909000000.0,Finished,Monaco Grand Prix,0 days 01:57:25.909000,0.436734693877551,
132,RIC,mclaren,14.0,13.0,7047900000000.0,Finished,Monaco Grand Prix,0 days 01:57:27.900000,0.436734693877551,
133,STR,aston_martin,18.0,14.0,7051067000000.0,Finished,Monaco Grand Prix,0 days 01:57:31.067000,0.436734693877551,
134,LAT,williams,19.0,15.0,,+1 Lap,Monaco Grand Prix,,0.436734693877551,
135,ZHO,sauber,20.0,16.0,,+1 Lap,Monaco Grand Prix,,0.436734693877551,
136,TSU,rb,11.0,17.0,,+1 Lap,Monaco Grand Prix,,0.436734693877551,
137,ALB,williams,16.0,18.0,,Mechanical,Monaco Grand Prix,,0.436734693877551,
138,MSC,haas,15.0,19.0,,Accident,Monaco Grand Prix,,0.436734693877551,
139,MAG,haas,13.0,20.0,,Water pressure,Monaco Grand Prix,,0.436734693877551,
140,VER,red_bull,3.0,1.0,5645941000000.0,Finished,Azerbaijan Grand Prix,0 days 01:34:05.941000,0.0,
141,PER,red_bull,2.0,2.0,5666764000000.0,Finished,Azerbaijan Grand Prix,0 days 01:34:26.764000,0.0,
142,RUS,mercedes,5.0,3.0,5691936000000.0,Finished,Azerbaijan Grand Prix,0 days 01:34:51.936000,0.0,
143,HAM,mercedes,7.0,4.0,5717620000000.0,Finished,Azerbaijan Grand Prix,0 days 01:35:17.620000,0.0,
144,GAS,rb,6.0,5.0,5723240000000.0,Finished,Azerbaijan Grand Prix,0 days 01:35:23.240000,0.0,
145,VET,aston_martin,9.0,6.0,5730040000000.0,Finished,Azerbaijan Grand Prix,0 days 01:35:30.040000,0.0,
146,ALO,alpine,10.0,7.0,5734537000000.0,Finished,Azerbaijan Grand Prix,0 days 01:35:34.537000,0.0,
147,RIC,mclaren,12.0,8.0,5738148000000.0,Finished,Azerbaijan Grand Prix,0 days 01:35:38.148000,0.0,
148,NOR,mclaren,11.0,9.0,5738497000000.0,Finished,Azerbaijan Grand Prix,0 days 01:35:38.497000,0.0,
149,OCO,alpine,13.0,10.0,5754125000000.0,Finished,Azerbaijan Grand Prix,0 days 01:35:54.125000,0.0,
150,BOT,sauber,15.0,11.0,,+1 Lap,Azerbaijan Grand Prix,,0.0,
151,ALB,williams,17.0,12.0,,+1 Lap,Azerbaijan Grand Prix,,0.0,
152,TSU,rb,8.0,13.0,,+1 Lap,Azerbaijan Grand Prix,,0.0,
153,MSC,haas,20.0,14.0,,+1 Lap,Azerbaijan Grand Prix,,0.0,
154,LAT,williams,18.0,15.0,,+1 Lap,Azerbaijan Grand Prix,,0.0,
155,STR,aston_martin,19.0,16.0,,Vibrations,Azerbaijan Grand Prix,,0.0,
156,MAG,haas,16.0,17.0,,Power Unit,Azerbaijan Grand Prix,,0.0,
157,ZHO,sauber,14.0,18.0,,Hydraulics,Azerbaijan Grand Prix,,0.0,
158,LEC,ferrari,1.0,19.0,,Power Unit,Azerbaijan Grand Prix,,0.0,
159,SAI,ferrari,4.0,20.0,,Hydraulics,Azerbaijan Grand Prix,,0.0,
160,VER,red_bull,1.0,1.0,5781757000000.0,Finished,Canadian Grand Prix,0 days 01:36:21.757000,0.0,
161,SAI,ferrari,3.0,2.0,5782750000000.0,Finished,Canadian Grand Prix,0 days 01:36:22.750000,0.0,
162,HAM,mercedes,4.0,3.0,5788763000000.0,Finished,Canadian Grand Prix,0 days 01:36:28.763000,0.0,
163,RUS,mercedes,8.0,4.0,5794070000000.0,Finished,Canadian Grand Prix,0 days 01:36:34.070000,0.0,
164,LEC,ferrari,19.0,5.0,5796925000000.0,Finished,Canadian Grand Prix,0 days 01:36:36.925000,0.0,
165,OCO,alpine,7.0,6.0,5805647000000.0,Finished,Canadian Grand Prix,0 days 01:36:45.647000,0.0,
166,BOT,sauber,11.0,7.0,5807004000000.0,Finished,Canadian Grand Prix,0 days 01:36:47.004000,0.0,
167,ZHO,sauber,10.0,8.0,5808709000000.0,Finished,Canadian Grand Prix,0 days 01:36:48.709000,0.0,
168,ALO,alpine,2.0,9.0,5811702000000.0,Finished,Canadian Grand Prix,0 days 01:36:51.702000,0.0,
169,STR,aston_martin,17.0,10.0,5819979000000.0,Finished,Canadian Grand Prix,0 days 01:36:59.979000,0.0,
170,RIC,mclaren,9.0,11.0,5824804000000.0,Finished,Canadian Grand Prix,0 days 01:37:04.804000,0.0,
171,VET,aston_martin,16.0,12.0,5826002000000.0,Finished,Canadian Grand Prix,0 days 01:37:06.002000,0.0,
172,ALB,williams,12.0,13.0,5826650000000.0,Finished,Canadian Grand Prix,0 days 01:37:06.650000,0.0,
173,GAS,rb,15.0,14.0,5826940000000.0,Finished,Canadian Grand Prix,0 days 01:37:06.940000,0.0,
174,NOR,mclaren,14.0,15.0,5833902000000.0,Finished,Canadian Grand Prix,0 days 01:37:13.902000,0.0,
175,LAT,williams,18.0,16.0,5841735000000.0,Finished,Canadian Grand Prix,0 days 01:37:21.735000,0.0,
176,MAG,haas,5.0,17.0,5849937000000.0,Finished,Canadian Grand Prix,0 days 01:37:29.937000,0.0,
177,TSU,rb,20.0,18.0,,Accident,Canadian Grand Prix,,0.0,
178,MSC,haas,6.0,19.0,,Engine,Canadian Grand Prix,,0.0,
179,PER,red_bull,13.0,20.0,,Gearbox,Canadian Grand Prix,,0.0,
180,SAI,ferrari,1.0,1.0,8270311000000.0,Finished,British Grand Prix,0 days 02:17:50.311000,0.0443349753694581,
181,PER,red_bull,4.0,2.0,8274090000000.0,Finished,British Grand Prix,0 days 02:17:54.090000,0.0443349753694581,
182,HAM,mercedes,5.0,3.0,8276536000000.0,Finished,British Grand Prix,0 days 02:17:56.536000,0.0443349753694581,
183,LEC,ferrari,3.0,4.0,8278857000000.0,Finished,British Grand Prix,0 days 02:17:58.857000,0.0443349753694581,
184,ALO,alpine,7.0,5.0,8279882000000.0,Finished,British Grand Prix,0 days 02:17:59.882000,0.0443349753694581,
185,NOR,mclaren,6.0,6.0,8282254000000.0,Finished,British Grand Prix,0 days 02:18:02.254000,0.0443349753694581,
186,VER,red_bull,2.0,7.0,8289088000000.0,Finished,British Grand Prix,0 days 02:18:09.088000,0.0443349753694581,
187,MSC,haas,19.0,8.0,8289306000000.0,Finished,British Grand Prix,0 days 02:18:09.306000,0.0443349753694581,
188,VET,aston_martin,18.0,9.0,8292667000000.0,Finished,British Grand Prix,0 days 02:18:12.667000,0.0443349753694581,
189,MAG,haas,17.0,10.0,8294901000000.0,Finished,British Grand Prix,0 days 02:18:14.901000,0.0443349753694581,
190,STR,aston_martin,20.0,11.0,8296458000000.0,Finished,British Grand Prix,0 days 02:18:16.458000,0.0443349753694581,
191,LAT,williams,10.0,12.0,8302822000000.0,Finished,British Grand Prix,0 days 02:18:22.822000,0.0443349753694581,
192,RIC,mclaren,14.0,13.0,8303128000000.0,Finished,British Grand Prix,0 days 02:18:23.128000,0.0443349753694581,
193,TSU,rb,13.0,14.0,8311221000000.0,Finished,British Grand Prix,0 days 02:18:31.221000,0.0443349753694581,
194,OCO,alpine,15.0,15.0,,Fuel pump,British Grand Prix,,0.0443349753694581,
195,GAS,rb,11.0,16.0,,Collision damage,British Grand Prix,,0.0443349753694581,
196,BOT,sauber,12.0,17.0,,Gearbox,British Grand Prix,,0.0443349753694581,
197,RUS,mercedes,8.0,18.0,,Collision,British Grand Prix,,0.0443349753694581,
198,ZHO,sauber,9.0,19.0,,Collision,British Grand Prix,,0.0443349753694581,
199,ALB,williams,16.0,20.0,,Collision,British Grand Prix,,0.0443349753694581,
200,LEC,ferrari,2.0,1.0,5064312000000.0,Finished,Austrian Grand Prix,0 days 01:24:24.312000,0.0,
201,VER,red_bull,1.0,2.0,5065844000000.0,Finished,Austrian Grand Prix,0 days 01:24:25.844000,0.0,
202,HAM,mercedes,8.0,3.0,5105529000000.0,Finished,Austrian Grand Prix,0 days 01:25:05.529000,0.0,
203,RUS,mercedes,4.0,4.0,5123284000000.0,Finished,Austrian Grand Prix,0 days 01:25:23.284000,0.0,
204,OCO,alpine,6.0,5.0,5132748000000.0,Finished,Austrian Grand Prix,0 days 01:25:32.748000,0.0,
205,MSC,haas,9.0,6.0,,+1 Lap,Austrian Grand Prix,,0.0,
206,NOR,mclaren,10.0,7.0,,+1 Lap,Austrian Grand Prix,,0.0,
207,MAG,haas,7.0,8.0,,+1 Lap,Austrian Grand Prix,,0.0,
208,RIC,mclaren,11.0,9.0,,+1 Lap,Austrian Grand Prix,,0.0,
209,ALO,alpine,19.0,10.0,,+1 Lap,Austrian Grand Prix,,0.0,
210,BOT,sauber,0.0,11.0,,+1 Lap,Austrian Grand Prix,,0.0,
211,ALB,williams,15.0,12.0,,+1 Lap,Austrian Grand Prix,,0.0,
212,STR,aston_martin,12.0,13.0,,+1 Lap,Austrian Grand Prix,,0.0,
213,ZHO,sauber,13.0,14.0,,+1 Lap,Austrian Grand Prix,,0.0,
214,GAS,rb,14.0,15.0,,+1 Lap,Austrian Grand Prix,,0.0,
215,TSU,rb,16.0,16.0,,+1 Lap,Austrian Grand Prix,,0.0,
216,VET,aston_martin,18.0,17.0,,+1 Lap,Austrian Grand Prix,,0.0,
217,SAI,ferrari,3.0,18.0,,Power Unit,Austrian Grand Prix,,0.0,
218,LAT,williams,17.0,19.0,,Undertray,Austrian Grand Prix,,0.0,
219,PER,red_bull,5.0,20.0,,Collision damage,Austrian Grand Prix,,0.0,
220,VER,red_bull,2.0,1.0,5402112000000.0,Finished,French Grand Prix,0 days 01:30:02.112000,0.0,
221,HAM,mercedes,4.0,2.0,5412699000000.0,Finished,French Grand Prix,0 days 01:30:12.699000,0.0,
222,RUS,mercedes,6.0,3.0,5418607000000.0,Finished,French Grand Prix,0 days 01:30:18.607000,0.0,
223,PER,red_bull,3.0,4.0,5419422000000.0,Finished,French Grand Prix,0 days 01:30:19.422000,0.0,
224,SAI,ferrari,19.0,5.0,5430984000000.0,Finished,French Grand Prix,0 days 01:30:30.984000,0.0,
225,ALO,alpine,7.0,6.0,5444991000000.0,Finished,French Grand Prix,0 days 01:30:44.991000,0.0,
226,NOR,mclaren,5.0,7.0,5454138000000.0,Finished,French Grand Prix,0 days 01:30:54.138000,0.0,
227,OCO,alpine,10.0,8.0,5459071000000.0,Finished,French Grand Prix,0 days 01:30:59.071000,0.0,
228,RIC,mclaren,9.0,9.0,5462484000000.0,Finished,French Grand Prix,0 days 01:31:02.484000,0.0,
229,STR,aston_martin,15.0,10.0,5464661000000.0,Finished,French Grand Prix,0 days 01:31:04.661000,0.0,
230,VET,aston_martin,12.0,11.0,5466606000000.0,Finished,French Grand Prix,0 days 01:31:06.606000,0.0,
231,GAS,rb,14.0,12.0,5467560000000.0,Finished,French Grand Prix,0 days 01:31:07.560000,0.0,
232,ALB,williams,13.0,13.0,5470677000000.0,Finished,French Grand Prix,0 days 01:31:10.677000,0.0,
233,BOT,sauber,11.0,14.0,5478778000000.0,Finished,French Grand Prix,0 days 01:31:18.778000,0.0,
234,MSC,haas,17.0,15.0,5482506000000.0,Finished,French Grand Prix,0 days 01:31:22.506000,0.0,
235,ZHO,sauber,16.0,16.0,,+6 Laps,French Grand Prix,,0.0,
236,LAT,williams,18.0,17.0,,Collision damage,French Grand Prix,,0.0,
237,MAG,haas,20.0,18.0,,Collision damage,French Grand Prix,,0.0,
238,LEC,ferrari,1.0,19.0,,Accident,French Grand Prix,,0.0,
239,TSU,rb,8.0,20.0,,Undertray,French Grand Prix,,0.0,
240,VER,red_bull,10.0,1.0,5975912000000.0,Finished,Hungarian Grand Prix,0 days 01:39:35.912000,0.2754491017964072,
241,HAM,mercedes,7.0,2.0,5983746000000.0,Finished,Hungarian Grand Prix,0 days 01:39:43.746000,0.2754491017964072,
242,RUS,mercedes,1.0,3.0,5988249000000.0,Finished,Hungarian Grand Prix,0 days 01:39:48.249000,0.2754491017964072,
243,SAI,ferrari,2.0,4.0,5990491000000.0,Finished,Hungarian Grand Prix,0 days 01:39:50.491000,0.2754491017964072,
244,PER,red_bull,11.0,5.0,5991600000000.0,Finished,Hungarian Grand Prix,0 days 01:39:51.600000,0.2754491017964072,
245,LEC,ferrari,3.0,6.0,5991959000000.0,Finished,Hungarian Grand Prix,0 days 01:39:51.959000,0.2754491017964072,
246,NOR,mclaren,4.0,7.0,6054212000000.0,Finished,Hungarian Grand Prix,0 days 01:40:54.212000,0.2754491017964072,
247,ALO,alpine,6.0,8.0,,+1 Lap,Hungarian Grand Prix,,0.2754491017964072,
248,OCO,alpine,5.0,9.0,,+1 Lap,Hungarian Grand Prix,,0.2754491017964072,
249,VET,aston_martin,18.0,10.0,,+1 Lap,Hungarian Grand Prix,,0.2754491017964072,
250,STR,aston_martin,14.0,11.0,,+1 Lap,Hungarian Grand Prix,,0.2754491017964072,
251,GAS,rb,0.0,12.0,,+1 Lap,Hungarian Grand Prix,,0.2754491017964072,
252,ZHO,sauber,12.0,13.0,,+1 Lap,Hungarian Grand Prix,,0.2754491017964072,
253,MSC,haas,15.0,14.0,,+1 Lap,Hungarian Grand Prix,,0.2754491017964072,
254,RIC,mclaren,9.0,15.0,,+1 Lap,Hungarian Grand Prix,,0.2754491017964072,
